Time,Vp,AI,Rc,t_synth_1
0.0,1900.0,4845000.0,0.0,0.0
0.002,1900.0,4845000.0,0.0,0.0
0.004,1900.0,4845000.0,0.0,0.0
0.006,1900.0,4845000.0,0.0,0.0
0.008,1900.0,4845000.0,0.0,0.0
0.01,1900.0,4845000.0,0.0,0.0
0.012,1900.0,4845000.0,0.0,0.0
0.014,1900.0,4845000.0,0.0,0.0
0.016,1900.0,4845000.0,0.0,0.0
0.018000000000000002,1900.0,4845000.0,0.0,0.0
0.02,1900.0,4845000.0,0.0,0.0
0.022,1900.0,4845000.0,0.0,0.0
0.024,1900.0,4845000.0,0.0,0.0
0.026000000000000002,1900.0,4845000.0,0.0,0.0
0.028,1900.0,4845000.0,0.0,0.0
0.03,1900.0,4845000.0,0.0,0.0
0.032,1900.0,4845000.0,0.0,0.0
0.034,1900.0,4845000.0,0.0,0.0
0.036000000000000004,1900.0,4845000.0,0.0,0.0
0.038,1900.0,4845000.0,0.0,0.0
0.04,1900.0,4845000.0,0.0,0.0
0.042,1900.0,4845000.0,0.0,0.0
0.044,1900.0,4845000.0,0.0,0.0
0.046,1900.0,4845000.0,0.0,0.0
0.048,1900.0,4845000.0,0.0,0.0
0.05,1900.0,4845000.0,0.0,0.0
0.052000000000000005,1900.0,4845000.0,0.0,0.0
0.054,1900.0,4845000.0,0.0,0.0
0.056,1900.0,4845000.0,0.0,0.0
0.058,1900.0,4845000.0,0.0,0.0
0.06,1900.0,4845000.0,0.0,0.0
0.062,1900.0,4845000.0,0.0,0.0
0.064,1900.0,4845000.0,0.0,0.0
0.066,1900.0,4845000.0,0.0,0.0
0.068,1900.0,4845000.0,0.0,0.0
0.07,1900.0,4845000.0,0.0,0.0
0.07200000000000001,1900.0,4845000.0,0.0,0.0
0.074,1900.0,4845000.0,0.0,0.0
0.076,1900.0,4845000.0,0.0,0.0
0.078,1900.0,4845000.0,0.0,0.0
0.08,1900.0,4845000.0,0.0,0.0
0.082,1900.0,4845000.0,0.0,0.0
0.084,1900.0,4845000.0,0.0,0.0
0.08600000000000001,1900.0,4845000.0,0.0,0.0
0.088,1900.0,4845000.0,0.0,0.0
0.09,1900.0,4845000.0,0.0,0.0
0.092,1900.0,4845000.0,0.0,0.0
0.094,1900.0,4845000.0,0.0,0.0
0.096,1900.0,4845000.0,0.0,0.0
0.098,1900.0,4845000.0,0.0,0.0
0.1,1900.0,4845000.0,0.0,0.0
0.10200000000000001,1900.0,4845000.0,0.0,0.0
0.10400000000000001,1900.0,4845000.0,0.0,0.0
0.106,1900.0,4845000.0,0.0,0.0
0.108,1900.0,4845000.0,0.0,0.0
0.11,1900.0,4845000.0,0.0,0.0
0.112,1900.0,4845000.0,0.0,0.0
0.114,1900.0,4845000.0,0.0,0.0
0.116,1900.0,4845000.0,0.0,0.0
0.11800000000000001,1900.0,4845000.0,0.0,0.0
0.12,1900.0,4845000.0,0.0,0.0
0.122,1900.0,4845000.0,0.0,-7.188230805391145e-11
0.124,1900.0,4845000.0,0.0,-3.188341554580839e-10
0.126,1900.0,4845000.0,0.0,-1.3431126163292671e-09
0.128,1900.0,4845000.0,0.0,-5.372729329060747e-09
0.13,1900.0,4845000.0,0.0,-2.0404905161149708e-08
0.132,1900.0,4845000.0,0.0,-7.35603990222169e-08
0.134,1900.0,4845000.0,0.0,-2.516664368680537e-07
0.136,1900.0,4845000.0,0.0,-8.168968304828135e-07
